"","Country","Confirmed","Death","Recovered","Active","Population"
"1","Afghanistan",40357,1499,33790,5068,38041754
"2","Albania",17651,458,10225,6968,2854191
"3","Algeria",54829,1873,38346,14610,43053054
"4","Andorra",3623,62,2273,1288,77142
"5","Angola",8049,251,3037,4761,31825295
"6","Antigua and Barbuda",119,3,101,15,97118
"7","Argentina",1018999,27100,829647,162252,44938712
"8","Armenia",66694,1101,48734,16859,2957731
"9","Australia",27443,905,25125,1413,25364307
"10","Austria",67451,914,51407,15130,8877067
"11","Azerbaijan",45879,635,40272,4972,10023318
"12","Bahamas",5923,124,3525,2274,389482
"13","Bahrain",78533,305,75089,3139,1641172
"14","Bangladesh",391586,5699,307141,78746,163046161
"15","Barbados",222,7,204,11,287025
"16","Belarus",88909,937,80503,7469,9466856
"17","Belgium",240159,10489,21476,208194,11484055
"18","Belize",2886,45,1727,1114,390353
"19","Benin",2496,41,2330,125,11801151
"20","Bhutan",331,0,302,29,763092
"21","Bolivia",140037,8526,105526,25985,11513100
"22","Bosnia and Herzegovina",35389,1017,25560,8812,3301000
"23","Botswana",5609,21,915,4673,2303697
"24","Brazil",5273954,154837,4526393,592724,211049527
"25","Brunei",147,3,143,1,433285
"26","Bulgaria",31863,1019,17414,13430,6975761
"27","Burkina Faso",2406,65,1824,517,20321378
"28","Myanmar",38502,945,18874,18683,54045420
"29","Burundi",550,1,497,52,11530580
"30","Cabo Verde",7901,87,6792,1022,549935
"31","Cambodia",286,0,280,6,16486542
"32","Cameroon",21570,425,20117,1028,25876380
"33","Canada",206349,9849,174514,NA,37589262
"34","Central African Republic",4858,62,1924,2872,4745185
"35","Chad",1399,93,1199,107,15946876
"36","Chile",494478,13702,466643,NA,18952038
"37","China",91022,4739,85873,410,1397715000
"38","Colombia",974139,29272,876731,68136,50339443
"39","Comoros",504,7,494,3,850886
"40","Congo, Rep.",5156,92,3887,1177,5380508
"41","Congo, Dem. Rep.",11066,303,10362,401,86790567
"42","Costa Rica",97922,1222,60109,36591,5047561
"43","Cote d'Ivoire",20342,121,20044,177,25716544
"44","Croatia",26863,382,20962,5519,4067500
"45","Cuba",6305,127,5806,372,11333483
"46","Cyprus",2839,25,1444,1370,1198575
"47","Czech Republic",193946,1619,79108,113219,10669709
"48","Denmark",36877,688,30486,5703,5818553
